Modulator	TF	significantTriplets	pvalue
Arf4	Zdhhc2	205	1.5210055437364645E-14
Arf4	Zfp36l1	486	0.0
Arf5	Epas1	272	0.0
Arf5	Nfkb1	162	1.4848526926014571E-5
Arf5	Tcf7	204	2.7422508708241367E-14
Arf5	Zfp36l1	185	7.719400674233157E-10
Arf6	Epas1	171	4.431930378245852E-7
Arf6	Tcf3	328	0.0
Arf6	Tgif1	650	0.0
Arf6	Zfp36l1	347	0.0
Arfgap2	Epas1	526	0.0
Arfgap2	Psmc3ip	190	6.209965874859336E-11
Arfgap2	Tcf3	149	0.0010271846261774575
Arhgap1	Epas1	318	0.0
Arhgap1	Tcf7	307	0.0
Arhgap10	Nfkb1	335	0.0
Arhgap10	Tcf3	223	0.0
Arhgap10	Tcf7	269	0.0
Arhgap12	Nfkb1	177	3.3146764555347374E-8
Arhgap12	Tcf3	149	0.0010271846261774575
Arhgap17	Epas1	196	2.5515145551935348E-12
Arhgap17	Nfkb1	429	0.0
Arhgap17	Tcf3	503	0.0
Arhgap17	Tcf7	190	6.209965874859336E-11
Arhgap17	Zfp36l1	302	0.0
Arhgap18	Tcf7	160	3.0417907412982892E-5
Arhgap21	Epas1	290	0.0
Arhgap21	Nfkb1	249	0.0
Arhgap21	Tcf3	279	0.0
Arhgap21	Tcf7	779	0.0
Arhgap21	Tgif1	226	0.0
Arhgap21	Zdhhc2	360	0.0
Arhgap21	Zfp36l1	200	2.751132655021138E-13
Arhgap25	Psmc3ip	202	8.770761894538737E-14
Arhgap25	Tcf3	148	0.0013640379951170845
Arhgap32	Tcf7	144	0.003987619452512692
Arhgap32	Zfp36l1	220	0.0
Arhgap33	Nfkb1	156	1.1895332408573545E-4
Arhgap33	Tcf3	169	1.0063224256118275E-6
Arhgap33	Zfp36l1	248	0.0
Arhgap44	Psmc3ip	176	5.1770141729079455E-8
Arhgap44	Tcf3	203	4.9182879990894435E-14
Arhgap44	Tgif1	238	0.0
Arhgef1	Nfkb1	145	0.00307810351166915
Arhgef18	Epas1	141	0.008350802592771323
Arhgef2	Epas1	200	2.751132655021138E-13
Arhgef2	Nfkb1	375	0.0
Arhgef2	Tcf3	530	0.0
Arhgef2	Zfp36l1	360	0.0
Arhgef25	Tcf3	171	4.431930378245852E-7
Arhgef25	Tcf7	338	0.0
Arhgef28	Tcf3	226	0.0
Arhgef39	Nfkb1	154	2.269858821103421E-4
Arhgef5	Epas1	171	4.431930378245852E-7
Arhgef5	Tcf7	193	1.2875478461182865E-11
Arhgef5	Tgif1	334	0.0
Arhgef5	Zfp36l1	209	1.3322676295501878E-15
Arhgef7	Epas1	323	0.0
Arhgef7	Nfkb1	143	0.005133768582017084
Arhgef7	Tcf3	162	1.4848526926014571E-5
Arhgef7	Tcf7	227	0.0
Arhgef9	Psmc3ip	272	0.0
Arhgef9	Tcf3	358	0.0
Arhgef9	Tcf7	315	0.0
Arhgef9	Tgif1	154	2.269858821103421E-4
Arhgef9	Zfp36l1	315	0.0
Arl13b	Nfkb1	157	8.534409825400324E-5
Arl4c	Tcf7	335	0.0
Arl6ip5	Epas1	198	8.461009670668318E-13
Arrb1	Nfkb1	308	0.0
Arrb1	Tcf3	240	0.0
Arrb1	Tgif1	189	1.0386125293138093E-10
Arrb1	Zdhhc2	181	5.278091741445223E-9
Arrb2	Nfkb1	147	0.0018002423278427049
Arrb2	Psmc3ip	161	2.131443263708732E-5
Arrb2	Tcf3	228	0.0
Arrdc1	Epas1	206	8.43769498715119E-15
Arrdc3	Nfkb1	612	0.0
Arrdc3	Tcf3	493	0.0
Arrdc3	Zdhhc2	175	8.041815569015398E-8
Arrdc3	Zfp36l1	237	0.0
Asap1	Nfkb1	440	0.0
Asap1	Tcf3	825	0.0
Asap1	Tcf7	279	0.0
Asap1	Tgif1	413	0.0
Asap1	Zdhhc2	273	0.0
Asap1	Zfp36l1	280	0.0
Asap2	Tcf7	213	1.1102230246251565E-16
Asic2	Nfkb1	228	0.0
Asic2	Tcf3	234	0.0
Asic2	Tgif1	212	2.220446049250313E-16
Asph	Epas1	161	2.131443263708732E-5
Asph	Nfkb1	231	0.0
Asph	Tcf3	168	1.503662832136321E-6
Asph	Tcf7	555	0.0
Asph	Zfp36l1	316	0.0
Aspm	Epas1	159	4.3155750089285405E-5
Aspm	Tcf7	141	0.008350802592771323
Atf4	Epas1	144	0.003987619452512692
Atf4	Nfkb1	276	0.0
Atp1a3	Epas1	152	4.228344153047736E-4
Atp1a3	Nfkb1	207	4.6629367034256575E-15
Atp1b1	Epas1	192	2.186417713545552E-11
Atp1b1	Nfkb1	859	0.0
Atp1b1	Tcf3	251	0.0
Atp1b1	Zfp36l1	163	1.0284176798491806E-5
Atp6ap2	Epas1	241	0.0
Atp6ap2	Nfkb1	156	1.1895332408573545E-4
Atp6ap2	Psmc3ip	160	3.0417907412982892E-5
Atp6ap2	Tcf3	298	0.0
Atp6ap2	Tgif1	199	4.836131495267182E-13
Atp6ap2	Zdhhc2	548	0.0
Atp6ap2	Zfp36l1	302	0.0
Atrnl1	Nfkb1	143	0.005133768582017084
Atrnl1	Tcf3	206	8.43769498715119E-15
Atrnl1	Tcf7	180	8.42281966395575E-9
Avpr1a	Nfkb1	253	0.0
Avpr1a	Psmc3ip	180	8.42281966395575E-9
Avpr1a	Tcf3	382	0.0
Axl	Tcf3	164	7.081801022601475E-6
Bag3	Nfkb1	202	8.770761894538737E-14
Bag3	Psmc3ip	294	0.0
Bag3	Tcf3	254	0.0
Bag3	Zdhhc2	146	0.0023613090385472546
Bag3	Zfp36l1	280	0.0
Bambi	Tcf7	170	6.697008005929206E-7
Bambi	Zfp36l1	151	5.718873964524196E-4
Bbs2	Tcf7	441	0.0
Bbs4	Nfkb1	319	0.0
Bbs4	Tcf3	553	0.0
Bbs4	Tgif1	409	0.0
Bbs4	Zdhhc2	169	1.0063224256118275E-6
Bbs4	Zfp36l1	254	0.0
Bbs7	Epas1	143	0.005133768582017084
Bbs7	Zfp36l1	146	0.0023613090385472546
Bcap31	Epas1	329	0.0
Bcap31	Nfkb1	406	0.0
Bcap31	Tcf3	269	0.0
Bcap31	Tcf7	293	0.0
Bcap31	Tgif1	552	0.0
Bcap31	Zdhhc2	327	0.0
Bcap31	Zfp36l1	545	0.0
Bcar1	Epas1	274	0.0
Bcar1	Nfkb1	225	0.0
Bcar1	Psmc3ip	307	0.0
Bcar1	Tcf3	364	0.0
Bcar1	Tcf7	1258	0.0
Bcar1	Tgif1	216	0.0
Bcar1	Zdhhc2	234	0.0
Bcar1	Zfp36l1	221	0.0
Bcl10	Epas1	546	0.0
Bcl10	Nfkb1	372	0.0
Bcl10	Tcf3	987	0.0
Bcl10	Tcf7	287	0.0
Bcl10	Tgif1	569	0.0
Bcl10	Zdhhc2	204	2.7422508708241367E-14
Bcl10	Zfp36l1	248	0.0
Bdkrb1	Epas1	194	7.544187496932864E-12
Bdkrb2	Epas1	379	0.0
Bdkrb2	Nfkb1	245	0.0
Bdkrb2	Psmc3ip	158	6.086820161643747E-5
Bdkrb2	Tcf3	233	0.0
Bdkrb2	Tcf7	222	0.0
Bdkrb2	Tgif1	216	0.0
Bdkrb2	Zfp36l1	190	6.209965874859336E-11
Bgn	Epas1	150	7.687880084403798E-4
Bgn	Tcf7	290	0.0
Bgn	Tgif1	150	7.687880084403798E-4
Bgn	Zfp36l1	164	7.081801022601475E-6
Birc2	Epas1	254	0.0
Birc2	Nfkb1	321	0.0
Birc2	Tcf3	500	0.0
Birc2	Tcf7	638	0.0
Birc2	Zdhhc2	181	5.278091741445223E-9
Birc2	Zfp36l1	220	0.0
Birc5	Epas1	168	1.503662832136321E-6
Birc5	Nfkb1	190	6.209965874859336E-11
Birc5	Psmc3ip	160	3.0417907412982892E-5
Birc5	Tcf3	210	7.771561172376096E-16
Birc5	Tcf7	160	3.0417907412982892E-5
Blk	Nfkb1	548	0.0
Blk	Tcf3	516	0.0
Blk	Tgif1	212	2.220446049250313E-16
Blk	Zfp36l1	473	0.0
Blnk	Epas1	191	3.6941338876772534E-11
Blnk	Psmc3ip	310	0.0
Blnk	Tgif1	310	0.0
Bmp2	Tcf3	297	0.0
Bmp2	Tcf7	188	1.7282086872683067E-10
Bmp2	Tgif1	660	0.0
Bmpr1b	Epas1	158	6.086820161643747E-5
Bmpr1b	Nfkb1	165	4.848611733110353E-6
