rat_entrez_id,mouse_entrez_id
405246,258639
405246,258643
364867,225471
100361513,74375
103689936,60321
79128,13132
100912152,258807
100912152,258806
100912152,258807
100912152,258806
288876,258930
310159,14000
81514,16981
362513,230126
313525,76608
299313,22294
684871,69068
684871,69068
117101,16504
680354,22381
302553,20937
405329,258366
405329,18346
100912580,258183
100912580,258183
100912580,258183
685907,622744
685907,624421
685907,100862180
685907,102633100
685907,108169097
685907,108168684
685907,108169098
685907,108169100
685907,108169101
362166,192285
363831,195333
688843,58243
287240,258460
171433,68514
24818,21454
309179,225849
64047,79235
300519,69524
303067,66628
306725,72219
306966,193452
108350226,258812
108350226,258812
108350226,258812
108350226,258812
108350226,258812
108350226,258812
679934,101314
25316,14126
117100,240332
295237,229524
688802,622408
306974,93681
314381,217827
363337,70935
363337,NA
363337,NA
363337,NA
363337,545732
363337,100862349
363337,100862359
363337,100862368
363337,100862388
363337,71026
363337,100038949
363337,545739
363337,75657
363337,664804
363337,100039045
363337,381622
363337,434689
363337,664837
363337,381714
363337,624245
363337,100503549
363337,66773
363337,100861702
363337,105242399
363337,360220
363337,100861755
363337,NA
363337,100502967
245977,224792
100910719,258826
100910719,258500
100910719,257959
100910719,258826
100910719,258500
100910719,257959
316259,353344
100910813,332427
100910813,332427
685680,212998
246327,19075
54225,238055
117018,16511
362377,73998
64392,107747
311029,17996
289456,114664
85257,12790
300444,71746
360803,76167
361495,57775
100363253,76952
361258,71745
313596,332937
361057,18130
294979,21744
498533,219148
500986,170761
361778,94281
367902,71703
100363333,622744
100363333,624421
100363333,100862180
100363333,102633100
100363333,108169097
100363333,108168684
100363333,108169098
100363333,108169100
100363333,108169101
29672,26442
502225,432779
308384,56459
294287,21652
361694,18739
308511,68947
108348063,70930
108348063,70930
313558,329934
291553,83814
680754,227627
290447,105689
298044,258821
114637,NA
114637,NA
63845,230157
362593,230737
363474,68316
502873,210673
613220,100503970
680867,224019
308495,233067
361474,320495
613224,100503970
314401,217843
29588,18992
304653,212123
24792,11611
103694600,100040031
103694600,108168570
103694600,108168660
103694600,100039614
103694600,108168580
103694600,108168583
103694600,108168584
103694600,108168585
103694600,108168586
103694600,108168602
103694600,108168603
103694600,108168604
103694600,108168605
103694600,108168606
103694600,108168607
103694600,108168610
103694600,108168611
