uniprotswissprot;entrezgene_id;symbol
Q5H9S7;80067;DCAF17
A6NNZ2;260334;TUBB8P12
Q9NXD2;54893;MTMR10
P56556;4700;NDUFA6
P08F94;5314;PKHD1
Q8NGA8;81099;AC008977.1
Q9ULL4;5365;PLXNB3
Q9NPI7;51315;KRCC1
Q8WXI4;26027;ACOT11
O75503;1203;CLN5
P00488;2162;F13A1
O43164;9867;PJA2
O76002;26707;OR2J2
Q14679;9654;TTLL4
A8MYZ6;100132074;FOXO6
Q9UBS0;6199;RPS6KB2
Q8NGI8;390195;OR5AN1
P14136;2670;GFAP
P10721;3815;KIT
Q9H825;79828;METTL8
P33897;215;ABCD1
P54198;7290;HIRA
Q9UKT7;26224;FBXL3
O43768;2029;ENSA
P55058;5360;PLTP
Q02108;2982;GUCY1A1
P24071;2204;FCAR
Q9BU02;79178;THTPA
Q12788;10607;TBL3
P53597;8802;SUCLG1
O96014;7481;WNT11
Q86YH2;140883;ZNF280B
Q9UH77;26249;KLHL3
O43741;5565;PRKAB2
P59817;129025;ZNF280A
P00374;1719;DHFR
Q8NGI9;219981;OR5A2
O95445;55937;APOM
Q9ULC3;51715;RAB23
Q96G74;55593;OTUD5
Q96JJ6;84502;JPH4
Q6P5S7;440400;RNASEK
Q6NZ67;80097;MZT2B
P25101;1909;EDNRA
Q7Z6K5;348110;ARPIN
Q9H4K7;26164;MTG2
P25391;284217;LAMA1
O95816;9532;BAG2
Q9BTC0;11083;DIDO1
Q8WYA6;56259;CTNNBL1
Q8NE71;23;ABCF1
O75175;4849;CNOT3
Q8NGJ0;219982;OR5A1
Q8NGJ1;219983;OR4D6
Q96EE3;81929;SEH1L
Q15654;7205;TRIP6
Q96BZ8;79165;LENG1
Q06609;5888;RAD51
P31269;3205;HOXA9
Q8WYN0;115201;ATG4A
P51993;2528;FUT6
A6NFU0;388389;FAM187A
A6NFU0;100528020;FAM187A
P16144;3691;ITGB4
Q9UGF5;442191;OR14J1
P31260;3206;HOXA10
P59780;10239;AP3S2
Q9NVR2;55174;INTS10
Q5MAI5;344387;CDKL4
Q9P298;51751;HIGD1B
Q9ULW5;25837;RAB26
Q8NFA2;124056;NOXO1
Q8N196;147912;SIX5
Q8NGI6;390197;OR4D10
Q9UPE1;26576;SRPK3
P35070;685;BTC
Q86Z02;204851;HIPK1
Q8TDJ6;23312;DMXL2
Q8TAD8;79753;SNIP1
Q8IUC6;148022;TICAM1
Q96PV6;114823;LENG8
Q8IW40;388389;CCDC103
Q92918;11184;MAP4K1
Q6NT55;126410;CYP4F22
P18054;239;ALOX12
O75843;8906;AP1G2
Q8NGI4;219986;OR4D11
Q96B70;94059;LENG9
Q8NGE8;390199;OR4D9
Q9NUG6;81572;PDRG1
Q5EBM0;129607;CMPK2
P01100;2353;FOS
P42679;4145;MATK
P38567;6677;SPAM1
P05423;661;POLR3D
Q86TB9;219988;PATL1
Q6E0U4;93099;DMKN
P35968;3791;KDR
Q53GD3;80736;SLC44A4
P20585;4437;MSH3
Q96LM9;140873;C20orf173
Q08J23;54888;NSUN2
O60664;10226;PLIN3
O60292;23094;SIPA1L3
P21757;4481;MSR1
Q96JA3;84725;PLEKHA8
Q9BXT8;56163;RNF17
Q3SXZ7;164395;TTLL9
Q9Y4E5;26036;ZNF451
Q8WXG1;91543;RSAD2
P22059;5007;OSBP
O43422;5612;THAP12
Q0WX57;728379;USP17L26
Q6NZY7;148170;CDC42EP5
Q6ZU67;389206;BEND4
D6R901;100287478;USP17L21
Q8IXM2;124944;C17orf49
P10619;5476;CTSA
C9J2P7;100288520;USP17L15
B4E2M5;100287718;ANKRD66
Q6UWI2;25849;PARM1
D6RA61;100287513;USP17L22
Q96KR1;51663;ZFR
Q96DG6;134147;CMBL
Q0WX57;728405;USP17L29
D6RJB6;100287441;USP17L20
Q8NGF3;390038;OR51D1
Q29980;4277;MICB
Q63ZY3;25959;KANK2
P52306;5910;RAP1GDS1
Q0WX57;728419;USP17L30
Q8TCB6;143503;OR51E1
Q0WX57;728369;USP17L24
O75884;10741;RBBP9
Q9UNM6;5719;PSMD13
Q12765;9805;SCRN1
Q9BTW9;6904;TBCD
D6R9N7;100287364;USP17L18
Q9Y2Z0;10910;SUGT1
P12643;650;BMP2
Q0WX57;728400;USP17L28
Q3KR37;57476;GRAMD1B
Q96P16;55197;RPRD1A
Q8NB12;150572;SMYD1
C9JJH3;100287144;USP17L10
H7C241;100288814;CLDN34
Q9Y5X4;10002;NR2E3
Q9H1R2;128853;DUSP15
Q9BYG4;84552;PARD6G
A0PJX4;152573;SHISA3
C9JPN9;100287205;USP17L12
Q569G3;133491;C5orf47
Q9NWM8;55033;FKBP14
D6RBQ6;100287327;USP17L17
P78395;23532;PRAME
Q09013;1760;DMPK
Q9BR76;57175;CORO1B
D6RGX4;100287045;FAM90A26
Q9Y5N1;11255;HRH3
C9JVI0;100287178;USP17L11
Q99944;80864;EGFL8
Q9NXE4;55627;SMPD4
Q969N2;51604;PIGT
Q96L93;55614;KIF16B
Q14088;9363;RAB33A
Q14761;5790;PTPRCAP
C9JLJ4;100287238;USP17L13
Q8WXX0;56171;DNAH7
O15355;5496;PPM1G
P07437;203068;TUBB
Q0WX57;728393;USP17L27
Q9Y2Z2;25821;MTO1
Q0WX57;728373;USP17L25
Q4LDR2;613212;CTXN3
Q13485;4089;SMAD4
P78424;11281;POU6F2
P21217;2525;FUT3
Q9H255;81285;OR51E2
O95711;9450;LY86
D6RCP7;100287404;USP17L19
A8MUK1;728386;USP17L5
Q9NPQ8;60626;RIC8A
P61587;390;RND3
Q9NS73;51562;MBIP
P0DO97;728586;CCDC192
Q9BXC9;583;BBS2
O00481;11119;BTN3A1
Q02978;8402;SLC25A11
Q9C0A1;85446;ZFHX2
P20800;1907;EDN2
Q6PCB8;133418;EMB
Q9Y2Y1;51728;POLR3K
Q8IVP5;139341;FUNDC1
Q9H777;55520;ELAC1
Q15155;23420;NOMO1
O60499;8677;STX10
Q92673;6653;SORL1
O76038;10590;SCGN
Q9NSA2;3750;KCND1
Q86TP1;58497;PRUNE1
Q9BV90;79622;SNRNP25
Q9NTG7;23410;SIRT3
Q03519;6891;TAP2
Q09019;1762;DMWD
O43809;11051;NUDT21
Q96T59;146822;CDRT15
Q9NYT6;7769;ZNF226
Q8N1W2;374655;ZNF710
Q9Y662;9953;HS3ST3B1
P32239;887;CCKBR
Q9H190;27111;SDCBP2
Q8WYK2;122953;JDP2
Q9NY12;54433;GAR1
Q15109;177;AGER
B2RXF0;730130;TMEM229A
Q9GZK7;26531;OR11A1
Q9C0E8;80856;LNPK
A1L188;284184;NDUFAF8
P82912;64963;MRPS11
Q96KK4;442194;OR10C1
A6NGY5;256892;OR51F1
Q13530;10955;SERINC3
Q9H6Y7;26001;RNF167
Q8IXI1;89941;RHOT2
P04080;1476;CSTB
Q8NGF1;119695;OR52R1
O43300;26045;LRRTM2
Q8NGK0;81282;OR51G2
Q99943;10554;AGPAT1
Q8N543;55239;OGFOD1
Q8NFD5;57492;ARID1B
O75791;9402;GRAP2
Q99853;27023;FOXB1
Q9BW19;3833;KIFC1
Q8NH64;119687;OR51A7
Q9H2W6;26589;MRPL46
Q92759;2968;GTF2H4
P62942;2280;FKBP1A
Q8NGJ8;119692;OR51S1
Q32MQ0;79755;ZNF750
Q9Y5N5;29104;N6AMT1
Q8NGK1;79324;OR51G1
A6NM36;339291;LRRC30
Q3ZCU0;100506127;GVQW3
Q86X60;653820;FAM72B
Q99946;80863;PRRT1
Q9BTL4;9592;IER2
Q7L523;10670;RRAGA
Q7L5Y6;55070;DET1
Q6P9F5;135644;TRIM40
Q8NF91;23345;SYNE1
Q9GZU5;60506;NYX
Q8NH61;119694;OR51F2
Q8NGJ7;401667;OR51A2
Q8NEB9;5289;PIK3C3
O14718;10692;RRH
P06858;4023;LPL
Q9NRE1;56547;MMP26
P0DJJ0;653464;SRGAP2C
Q8NGJ9;401665;OR51T1
Q3SXY7;345193;LRIT3
P12532;548596;CKMT1A
Q9Y247;26240;FAM50B
Q8NGJ6;401666;OR51A4
Q9NZW4;1834;DSPP
H0YM25;440243;GOLGA6L22
Q9H8P0;79644;SRD5A3
P45844;9619;ABCG1
Q8IV76;139135;PASD1
Q8NBB4;284312;ZSCAN1
Q8IY21;55601;DDX60
Q13151;10949;HNRNPA0
O43307;23229;ARHGEF9
Q13316;1758;DMP1
Q67FW5;146712;B3GNTL1
Q86Y39;126328;NDUFA11
Q99650;9180;OSMR
P60953;998;CDC42
Q9BZD7;79057;PRRG3
Q969F8;84634;KISS1R
Q9ULB1;9378;NRXN1
Q11128;2527;FUT5
Q86UE8;11011;TLK2
Q96DC9;78990;OTUB2
