p1,p2,pvalue
P05067,O00443,0.14904486894713462
P05067,P46108,0.0539513302729651
P05067,O43508,0.13527321190581965
P80162,P16581,0.0025420800631817957
P46108,Q96D21,0.045658719581420606
P23528,P36897,0.06387284663606299
P05067,Q8NI17,0.12162495680931931
P18065,O60674,0.024310183128486106
P46108,P09603,0.01767115849745792
P46108,Q9NYI0,0.02714842785922306
P05067,Q14832,0.09111999605113777
P46108,Q9UBT7,0.015869490103164026
P61769,Q86YW5,0.012957204205538279
P61769,P23415,0.04035243595439064
P05067,P10586,0.0399081889530579
P10147,Q14289,0.012290833703539167
P05067,Q9BY21,0.16869045856162693
P05067,P13945,0.047065501752307615
P22392,Q92835,0.018534972111160473
P05067,Q6MZT1,0.10089343008045806
P17931,P36897,0.02211362851078533
P05019,P13612,0.0060960560738437235
P10147,P06239,0.017054148773384667
P46108,O43374,0.023248926403080114
P01034,P62745,0.016190335159682115
Q15121,P36897,0.04847228392319463
P05067,O14807,0.07515178439212201
P09601,P30626,0.0037267387334024384
P05067,Q15109,0.015449923490794215
P01034,Q99523,0.010538526087171134
P29279,P15692,6.910508909620416e-4
P05067,Q9Y275,0.03361468976751074
P18065,P07948,0.032726195764845256
P19022,O14492,0.03625549138654425
P61769,P06729,0.00459055234710499
P05067,Q14623,0.06486006219458018
P46108,Q16512,0.06059035490399329
P09601,P62745,0.008539414581173799
P61769,O60603,0.007404116688879017
P46108,Q7L591,8.638136137025519e-4
P05067,Q05901,0.08643072214818105
P46108,O43166,0.03958734389653981
P46108,P84095,0.007823683301248828
P22392,P20339,0.0012093390591835728
P05067,P62330,0.03257811343106767
P61769,P18627,0.0019250703391085443
Q14767,Q9HAU4,0.0015055037267387335
P05067,P28476,0.07952021323856064
P05067,P25929,0.05814699639666321
P05067,P29322,0.10035046152327361
P46108,Q92963,0.01327804926205637
P05067,Q96S21,0.08250654030307518
P05067,Q9NSC5,3.702058344439508e-4
P46108,Q92633,0.04662125475097487
P61978,Q01082,0.036921861888543364
P19022,P04629,0.0036280171775507184
P09601,Q92835,0.015326521545979565
P23528,Q13418,0.006071375684880794
P05067,Q8NFT8,0.060763117626733795
P05067,Q92556,0.07877980156967274
P61769,Q7Z6J4,0.011945308258058148
P05019,P40189,0.003257811343106767
P09601,Q9H6Q3,0.012093390591835727
P61769,Q01638,0.019744311170344045
P05067,Q7Z6J4,0.05585172022311072
P05067,P40259,0.10879115454859568
P05067,O95859,0.10326274742089936
P05067,O75509,7.404116688879016e-4
P61769,P12314,0.007873044079174689
P05067,P47775,0.0023939977294042156
P61769,P04626,0.00881089885976603
P46108,P20339,0.007502838244730737
P05067,Q9NYQ6,0.12189644108791155
P05067,O00548,0.08532010464484921
P05067,Q6S5L8,0.07260970432894022
P23528,Q14160,0.005923293351103213
Q9BS40,P36897,0.053359000937854784
P05067,Q9UHC6,0.043536206130608615
P04179,Q9P0L0,0.002986327064514537
P05067,P06729,0.1207117824176909
P05067,P10747,0.06977145959820327
P05067,P11362,0.04686805864060418
P48444,Q9P0L0,0.014758872599832173
P05067,P20309,0.06266350757687941
P05067,O95622,0.11730588874080655
P05067,P35367,0.0572338220050348
P05067,P46094,0.0752258255590108
P29279,Q13418,0.009378547805913422
P23528,Q14289,0.010094279085838393
P46108,P61106,0.006984550076509206
P05067,Q8N6H7,0.1109383483883706
P24593,P17948,0.00441778962436448
P58546,O15530,0.01769583888642085
P23528,P35240,0.0051828816822153114
P05067,P16499,0.12823930105138456
P46108,Q03113,0.00900834197146947
P48444,P61006,0.006022014906954934
P46108,O60716,0.04077200256676045
P46108,P62491,0.010612567254059924
P24593,Q15109,0.006392220741398885
P05067,Q9ULV1,0.16614837849844513
P05067,P16070,0.05511130855422281
P23528,Q9BUZ4,0.011599782812577127
P05067,P56199,0.06374944469124834
P09601,Q13418,0.011797225924280567
P46108,Q9UN19,0.043585566908534476
P05067,P09619,0.08221037563552001
P05067,P49238,0.06147884890665877
P23528,Q9NP31,0.012340194481465028
P46108,Q9NS86,0.04324004146305346
P19022,P06239,0.03092452737055136
P09601,O14492,0.022385112789377562
P04179,P36897,0.028209684584629052
P61769,P01730,0.002245915395626635
P61769,P04233,0.0010118959474801322
P46108,P15692,0.03716866577817266
P05067,P32238,0.05481514388666765
P19022,Q01082,0.0019744311170344043
Q15691,P62491,0.014734192210869244
P05067,P46089,0.038106520558764005
O75396,P36897,0.04605360580482749
P05067,Q9Y561,0.08045806801915198
P46108,Q9NYT0,0.024927192852559357
P05067,Q9NP31,0.13396515129078435
P61978,O95292,0.010020237918949603
P48444,Q12851,0.008440693025322079
P05067,P61586,0.0472135840860852
P05067,Q15811,0.04657189397304901
P05067,Q9NYQ7,0.04884248975763858
P09382,P35240,0.0046645935139937806
P05067,P48169,0.02221235006663705
P46108,O76081,0.0054296855718446125
P23528,Q01082,0.019571548447603535
P05067,A7KAX9,0.16617305888740808
P19022,P11362,0.015844809714201095
P46108,P49768,0.011747865146354706
P09601,Q9ULW5,0.006466261908287674
P80162,P48023,0.011525741645688335
